ImgID;Number_of_NMJ;NMJ_id;Denervation
6260SOL-D1;1;a;Non
6260SOL-D10;1;a;Non
6260SOL-D10;1;b;Non
6260SOL-D10;1;c;Non
6260SOL-D10;1;d;Partielle
6260SOL-D11;1;a;Non
6260SOL-D11;1;b;Non
6260SOL-D12;1;a;Non
6260SOL-D12;1;b;Non
6260SOL-D13;1;a;Partielle
6260SOL-D13;1;b;Non
6260SOL-D14;1;a;Non
6260SOL-D14;1;b;Non
6260SOL-D15;1;a;Non
6260SOL-D16;1;a;Non
6260SOL-D17;1;a;Non
6260SOL-D19;1;a;Non
6260SOL-D19;1;b;Non
6260SOL-D2;1;a;Non
6260SOL-D2;1;b;Non
6260SOL-D20;1;a;Non
6260SOL-D20;1;b;Non
6260SOL-D3;1;a;Non
6260SOL-D4;1;a;Non
6260SOL-D4;1;b;Non
6260SOL-D5;1;a;Partielle
6260SOL-D5;1;b;Non
6260SOL-D6;1;a;Non
6260SOL-D7;1;a;Non
6260SOL-D8;1;a;Non
6260SOL-G1;1;a;Non
6260SOL-G1;1;b;Non
6260SOL-G1;1;c;Non
6260SOL-G11;1;a;Non
6260SOL-G11;1;b;Complete
6260SOL-G12;1;a;Non
6260SOL-G13;1;a;Complete
6260SOL-G14;1;a;Partielle
6260SOL-G14;1;b;Partielle
6260SOL-G15;1;a;Non
6260SOL-G16;1;a;Non
6260SOL-G16;1;b;Non
6260SOL-G17;1;a;Complete
6260SOL-G17;1;b;Non
6260SOL-G18;1;a;Complete
6260SOL-G18;1;b;Non
6260SOL-G19;1;a;Non
6260SOL-G19;1;b;Non
6260SOL-G2;1;a;Non
6260SOL-G2;1;b;Non
6260SOL-G20;1;a;Non
6260SOL-G20;1;b;Non
6260SOL-G21;1;a;Non
6260SOL-G22;1;a;Non
6260SOL-G22;1;b;Non
6260SOL-G3;1;a;Non
6260SOL-G3;1;b;Non
6260SOL-G4;1;a;Non
6260SOL-G5;1;a;Non
6260SOL-G5;1;b;Non
6260SOL-G6;1;a;Complete
6260SOL-G7;1;a;Non
6260SOL-G7;1;b;Non
6260SOL-G8;1;a;Partielle
6260SOL-G9;1;a;Non
6261SOL-D1;1;a;Complete
6261SOL-D10;1;a;Non
6261SOL-D11;1;a;Non
6261SOL-D11;1;b;Non
6261SOL-D12;1;a;Non
6261SOL-D12;1;b;Non
6261SOL-D13;1;a;Non
6261SOL-D14;1;a;Non
6261SOL-D14;1;b;Non
6261SOL-D15;1;a;Non
6261SOL-D16;1;a;Non
6261SOL-D2;1;a;Non
6261SOL-D2;1;b;Non
6261SOL-D3;1;a;Non
6261SOL-D4;1;a;Partielle
6261SOL-D4;1;b;Non
6261SOL-D5;1;a;Non
6261SOL-D5;1;b;Non
6261SOL-D5;1;c;Non
6261SOL-D6;1;a;Non
6261SOL-D6;1;b;Non
6261SOL-D7;1;a;Non
6261SOL-D7;1;b;Complete
6261SOL-D8;1;a;Complete
6261SOL-D8;1;b;Non
6261SOL-D9;1;a;Partielle
6261SOL-G1;1;a;Non
6261SOL-G10;1;a;Non
6261SOL-G11;1;a;Non
6261SOL-G11;1;b;Non
6261SOL-G12;1;a;Non
6261SOL-G13;1;a;Non
6261SOL-G13;1;b;Partielle
6261SOL-G13;1;c;Non
6261SOL-G13;1;d;Non
6261SOL-G14;1;a;Non
6261SOL-G15;1;a;Non
6261SOL-G15;1;b;Non
6261SOL-G16;1;a;Non
6261SOL-G17;1;a;Non
6261SOL-G18;1;a;Non
6261SOL-G18;1;b;Non
6261SOL-G19;1;a;Non
6261SOL-G2;1;a;Non
6261SOL-G2;1;b;Non
6261SOL-G20;1;a;Non
6261SOL-G21;1;a;Non
6261SOL-G21;1;b;Non
6261SOL-G22;1;a;Non
6261SOL-G23;1;a;Non
6261SOL-G23;1;b;Non
6261SOL-G24;1;a;Non
6261SOL-G3;1;a;Non
6261SOL-G3;1;b;Non
6261SOL-G4;1;a;Non
6261SOL-G5;1;a;Non
6261SOL-G6;1;a;Non
6261SOL-G7;1;a;Non
6261SOL-G8;1;a;Non
6261SOL-G9;1;a;Partielle
6266SOL-D1;1;a;Non
6266SOL-D10;1;a;Non
6266SOL-D11;1;a;Non
6266SOL-D12;1;a;Complete
6266SOL-D12;1;b;Non
6266SOL-D13;1;a;Non
6266SOL-D13;1;b;Non
6266SOL-D14;1;a;Non
6266SOL-D14;1;b;Non
6266SOL-D15;1;a;Non
6266SOL-D16;1;a;Complete
6266SOL-D17;1;a;Complete
6266SOL-D18;1;a;Partielle
6266SOL-D19;1;a;Non
6266SOL-D2;1;a;Complete
6266SOL-D20;1;a;Partielle
6266SOL-D21;1;a;Non
6266SOL-D22;1;a;Complete
6266SOL-D22;1;b;Non
6266SOL-D23;1;a;Non
6266SOL-D24;1;a;Non
6266SOL-D3;1;a;Non
6266SOL-D3;1;b;Partielle
6266SOL-D4;1;a;Complete
6266SOL-D4;1;b;Non
6266SOL-D5;1;a;Non
6266SOL-D6;1;a;Non
6266SOL-D6;1;b;Complete
6266SOL-D7;1;a;Non
6266SOL-D8;1;a;Non
6266SOL-D8;1;b;Non
6266SOL-D8;1;c;Non
6266SOL-D9;1;a;Complete
6266SOL-D9;1;b;Complete
6266SOL-G1;1;a;Non
6266SOL-G1;1;b;Non
6266SOL-G10;1;a;Non
6266SOL-G11;1;a;Non
6266SOL-G12;1;a;Non
6266SOL-G12;1;b;Non
6266SOL-G13;1;a;Non
6266SOL-G13;1;b;Non
6266SOL-G14;1;a;Non
6266SOL-G14;1;b;Non
6266SOL-G14;1;c;Non
6266SOL-G14;1;d;Non
6266SOL-G15;1;a;Non
6266SOL-G16;1;a;Non
6266SOL-G17;1;a;Non
6266SOL-G18;1;a;Non
6266SOL-G19;1;a;Non
6266SOL-G2;1;a;Non
6266SOL-G20;1;a;Non
6266SOL-G21;1;a;Non
6266SOL-G22;1;a;Non
6266SOL-G23;1;a;Non
6266SOL-G23;1;b;Non
6266SOL-G24;1;a;Non
6266SOL-G25;1;a;Non
6266SOL-G26;1;a;Non
6266SOL-G26;1;b;Non
6266SOL-G27;1;a;Non
6266SOL-G28;1;a;Non
6266SOL-G29;1;a;Partielle
6266SOL-G29;1;b;Non
6266SOL-G3;1;a;Non
6266SOL-G30;1;a;Partielle
6266SOL-G31;1;a;Non
6266SOL-G31;1;b;Non
6266SOL-G32;1;a;Non
6266SOL-G32;1;b;Non
6266SOL-G4;1;a;Non
6266SOL-G5;1;a;Non
6266SOL-G6;1;a;Non
6266SOL-G7;1;a;Non
6266SOL-G8;1;a;Non
6266SOL-G8;1;b;Non
6266SOL-G9;1;a;Non
6266SOL-G9;1;b;Non
6267SOL-D1;1;a;Non
6267SOL-D10;1;a;Non
6267SOL-D11;1;a;Non
6267SOL-D12;1;a;Non
6267SOL-D12;1;b;Non
6267SOL-D13;1;a;Non
6267SOL-D13;1;b;Non
6267SOL-D14;1;a;Non
6267SOL-D15;1;a;Non
6267SOL-D15;1;b;Non
6267SOL-D16;1;a;Non
6267SOL-D17;1;a;Non
6267SOL-D17;1;b;Non
6267SOL-D18;1;a;Non
6267SOL-D18;1;b;Non
6267SOL-D19;1;a;Non
6267SOL-D2;1;a;Non
6267SOL-D20;1;a;Non
6267SOL-D20;1;b;Non
6267SOL-D21;1;a;Non
6267SOL-D21;1;b;Non
6267SOL-D3;1;a;Non
6267SOL-D4;1;a;Non
6267SOL-D5;1;a;Non
6267SOL-D6;1;a;Non
6267SOL-D6;1;b;Non
6267SOL-D6;1;c;Non
6267SOL-D7;1;a;Non
6267SOL-D7;1;b;Non
6267SOL-D8;1;a;Non
6267SOL-D8;1;b;Non
6267SOL-D9;1;a;Non
6267SOL-D9;1;b;Non
6267SOL-G1;1;a;Non
6267SOL-G10;1;a;Non
6267SOL-G10;1;b;Non
6267SOL-G11;1;a;Non
6267SOL-G12;1;a;Non
6267SOL-G12;1;b;Non
6267SOL-G13;1;a;Non
6267SOL-G14;1;a;Non
6267SOL-G15;1;a;Non
6267SOL-G16;1;a;Non
6267SOL-G16;1;b;Non
6267SOL-G17;1;a;Non
6267SOL-G18;1;a;Non
6267SOL-G19;1;a;Non
6267SOL-G19;1;b;Non
6267SOL-G2;1;a;Non
6267SOL-G2;1;b;Complete
6267SOL-G3;1;a;Non
6267SOL-G4;1;a;Non
6267SOL-G4;1;b;Non
6267SOL-G6;1;a;Non
6267SOL-G7;1;a;Non
6267SOL-G8;1;a;Non
6267SOL-G8;1;b;Non
6267SOL-G9;1;a;Non
6267SOL-G9;1;b;Non
6268SOL-D1;1;a;Non
6268SOL-D10;1;a;Non
6268SOL-D11;1;a;Non
6268SOL-D12;1;a;Non
6268SOL-D13;1;a;Non
6268SOL-D13;1;b;Non
6268SOL-D14;1;a;Non
6268SOL-D15;1;a;Non
6268SOL-D15;1;b;Non
6268SOL-D16;1;a;Non
6268SOL-D16;1;b;Non
6268SOL-D17;1;a;Non
6268SOL-D17;1;b;Non
6268SOL-D18;1;a;Non
6268SOL-D18;1;b;Non
6268SOL-D19;1;a;Non
6268SOL-D19;1;b;Non
6268SOL-D2;1;a;Non
6268SOL-D20;1;a;Non
6268SOL-D20;1;b;Non
6268SOL-D20;1;c;Non
6268SOL-D21;1;a;Non
6268SOL-D22;1;a;Non
6268SOL-D23;1;a;Non
6268SOL-D24;1;a;Non
6268SOL-D25;1;a;Non
6268SOL-D26;1;a;Non
6268SOL-D3;1;a;Non
6268SOL-D4;1;a;Partielle
6268SOL-D4;1;b;Non
6268SOL-D5;1;a;Non
6268SOL-D6;1;a;Non
6268SOL-D7;1;a;Non
6268SOL-D8;1;a;Non
6268SOL-D8;1;b;Non
6268SOL-D9;1;a;Non
6268SOL-G1;1;a;Non
6268SOL-G10;1;a;Non
6268SOL-G11;1;a;Non
6268SOL-G12;1;a;Non
6268SOL-G13;1;a;Non
6268SOL-G14;1;a;Non
6268SOL-G15;1;a;Non
6268SOL-G16;1;a;Non
6268SOL-G17;1;a;Non
6268SOL-G18;1;a;Non
6268SOL-G19;1;a;Non
6268SOL-G19;1;b;Non
6268SOL-G19;1;c;Non
6268SOL-G2;1;a;Non
6268SOL-G20;1;a;Non
6268SOL-G21;1;a;Non
6268SOL-G21;1;b;Non
6268SOL-G22;1;a;Partielle
6268SOL-G23;1;a;Non
6268SOL-G3;1;a;Non
6268SOL-G3;1;b;Non
6268SOL-G4;1;a;Non
6268SOL-G4;1;b;Non
6268SOL-G5;1;a;Non
6268SOL-G5;1;b;Non
6268SOL-G5;1;c;Non
6268SOL-G6;1;a;Non
6268SOL-G7;1;a;Non
6268SOL-G8;1;a;Non
6268SOL-G9;1;a;Non
6269SOL-D1;1;a;Non
6269SOL-D2;1;a;Non
6269SOL-D3;1;a;Non
6269SOL-D4;1;a;Non
6269SOL-G1;1;a;Non
6269SOL-G10;1;a;Non
6269SOL-G11;1;a;Non
6269SOL-G12;1;a;Non
6269SOL-G13;1;a;Non
6269SOL-G14;1;a;Non
6269SOL-G15;1;a;Non
6269SOL-G16;1;a;Non
6269SOL-G17;1;a;Non
6269SOL-G18;1;a;Non
6269SOL-G19;1;a;Non
6269SOL-G2;1;a;Non
6269SOL-G20;1;a;Non
6269SOL-G21;1;a;Non
6269SOL-G3;1;a;Non
6269SOL-G4;1;a;Non
6269SOL-G5;1;a;Non
6269SOL-G6;1;a;Non
6269SOL-G6;1;b;Non
6269SOL-G7;1;a;Non
6269SOL-G8;1;a;Non
6269SOL-G9;1;a;Non
6283SOL-D1;1;a;Non
6283SOL-D10;1;a;Non
6283SOL-D11;1;a;Non
6283SOL-D12;1;a;Non
6283SOL-D13;1;a;Non
6283SOL-D14;1;a;Non
6283SOL-D15;1;a;Non
6283SOL-D15;1;b;Non
6283SOL-D15;1;c;Non
6283SOL-D15;1;d;Non
6283SOL-D15;1;e;Non
6283SOL-D16;1;a;Non
6283SOL-D17;1;a;Non
6283SOL-D17;1;b;Non
6283SOL-D18;1;a;Complete
6283SOL-D18;1;b;Non
6283SOL-D18;1;c;Non
6283SOL-D19;1;a;Non
6283SOL-D2;1;a;Non
6283SOL-D20;1;a;Non
6283SOL-D21;1;a;Non
6283SOL-D3;1;a;Non
6283SOL-D4;1;a;Non
6283SOL-D4;1;b;Non
6283SOL-D4;1;c;Non
6283SOL-D5;1;a;Non
6283SOL-D5;1;b;Non
6283SOL-D6;1;a;Non
6283SOL-D7;1;a;Non
6283SOL-D8;1;a;Non
6283SOL-D8;1;b;Non
6283SOL-D8;1;c;Non
6283SOL-D9;1;a;Non
6283SOL-G1;1;a;Non
6283SOL-G1;1;b;Non
6283SOL-G10;1;a;Non
6283SOL-G10;1;b;Non
6283SOL-G11;1;a;Non
6283SOL-G12;1;a;Non
6283SOL-G12;1;b;Non
6283SOL-G12;1;c;Non
6283SOL-G12;1;d;Non
6283SOL-G13;1;a;Non
6283SOL-G14;1;a;Non
6283SOL-G14;1;b;Non
6283SOL-G16;1;a;Non
6283SOL-G17;1;a;Non
6283SOL-G18;1;a;Partielle
6283SOL-G18;1;b;Non
6283SOL-G19;1;a;Non
6283SOL-G2;1;a;Non
6283SOL-G20;1;a;Non
6283SOL-G21;1;a;Non
6283SOL-G3;1;a;Non
6283SOL-G3;1;b;Non
6283SOL-G4;1;a;Non
6283SOL-G4;1;b;Non
6283SOL-G5;1;a;Non
6283SOL-G6;1;a;Non
6283SOL-G7;1;a;Complete
6283SOL-G9;1;a;Non
6284SOL-D1;1;a;Non
6284SOL-D1;1;b;Non
6284SOL-D10;1;a;Non
6284SOL-D11;1;a;Non
6284SOL-D12;1;a;Non
6284SOL-D13;1;a;Non
6284SOL-D13;1;b;Non
6284SOL-D14;1;a;Partielle
6284SOL-D14;1;b;Partielle
6284SOL-D15;1;a;Non
6284SOL-D16;1;a;Non
6284SOL-D17;1;a;Non
6284SOL-D18;1;a;Non
6284SOL-D18;1;b;Non
6284SOL-D19;1;a;Non
6284SOL-D19;1;b;Non
6284SOL-D2;1;a;Non
6284SOL-D20;1;a;Non
6284SOL-D21;1;a;Non
6284SOL-D22;1;a;Non
6284SOL-D22;1;b;Non
6284SOL-D23;1;a;Partielle
6284SOL-D23;1;b;Non
6284SOL-D24;1;a;Non
6284SOL-D25;1;a;Non
6284SOL-D26;1;a;Partielle
6284SOL-D3;1;a;Non
6284SOL-D4;1;a;Non
6284SOL-D4;1;b;Non
6284SOL-D5;1;a;Non
6284SOL-D6;1;a;Non
6284SOL-D7;1;a;Non
6284SOL-D8;1;a;Non
6284SOL-D8;1;b;Non
6284SOL-D8;1;c;Non
6284SOL-D9;1;a;Non
6284SOL-G1;1;a;Non
6284SOL-G1;1;b;Non
6284SOL-G10;1;a;Non
6284SOL-G11;1;a;Partielle
6284SOL-G12;1;a;Non
6284SOL-G13;1;a;Non
6284SOL-G13;1;b;Non
6284SOL-G14;1;a;Non
6284SOL-G15;1;a;Non
6284SOL-G15;1;b;Non
6284SOL-G16;1;a;Partielle
6284SOL-G16;1;b;Non
6284SOL-G17;1;a;Non
6284SOL-G18;1;a;Non
6284SOL-G18;1;b;Non
6284SOL-G2;1;a;Non
6284SOL-G3;1;a;Non
6284SOL-G4;1;a;Partielle
6284SOL-G5;1;a;Non
6284SOL-G6;1;a;Non
6284SOL-G7;1;a;Non
6284SOL-G8;1;a;Non
6284SOL-G9;1;a;Non
6284SOL-G9;1;b;Non
6285SOL-D1;1;a;Non
6285SOL-D10;1;a;Non
6285SOL-D11;1;a;Non
6285SOL-D12;1;a;Non
6285SOL-D12;1;b;Non
6285SOL-D13;1;a;Non
6285SOL-D14;1;a;Non
6285SOL-D15;1;a;Non
6285SOL-D16;1;a;Non
6285SOL-D16;1;b;Non
6285SOL-D17;1;a;Non
6285SOL-D17;1;b;Non
6285SOL-D18;1;a;Non
6285SOL-D19;1;a;Non
6285SOL-D2;1;a;Non
6285SOL-D20;1;a;Non
6285SOL-D21;1;a;Non
6285SOL-D22;1;a;Non
6285SOL-D23;1;a;Non
6285SOL-D24;1;a;Non
6285SOL-D24;1;b;Non
6285SOL-D3;1;a;Non
6285SOL-D4;1;a;Non
6285SOL-D5;1;a;Non
6285SOL-D6;1;a;Non
6285SOL-D7;1;a;Non
6285SOL-D8;1;a;Non
6285SOL-D9;1;a;Non
6285SOL-D9;1;b;Non
6285SOL-G1;1;a;Non
6285SOL-G10;1;a;Non
6285SOL-G11;1;a;Non
6285SOL-G11;1;b;Non
6285SOL-G12;1;a;Non
6285SOL-G13;1;a;Non
6285SOL-G13;1;b;Non
6285SOL-G13;1;c;Non
6285SOL-G14;1;a;Non
6285SOL-G15;1;a;Non
6285SOL-G16;1;a;Non
6285SOL-G16;1;b;Non
6285SOL-G16;1;c;Non
6285SOL-G17;1;a;Non
6285SOL-G18;1;a;Non
6285SOL-G19;1;a;Non
6285SOL-G2;1;a;Non
6285SOL-G20;1;a;Non
6285SOL-G21;1;a;Non
6285SOL-G22;1;a;Non
6285SOL-G23;1;a;Non
6285SOL-G24;1;a;Non
6285SOL-G25;1;a;Non
6285SOL-G3;1;a;Non
6285SOL-G4;1;a;Non
6285SOL-G5;1;a;Non
6285SOL-G6;1;a;Non
6285SOL-G7;1;a;Non
6285SOL-G8;1;a;Non
6285SOL-G9;1;a;Non
6285SOL-G9;1;b;Non
6412EDL-G1;1;a;Complete
6412EDL-G10;1;a;Complete
6412EDL-G10;1;b;Complete
6412EDL-G11;1;a;Complete
6412EDL-G11;1;b;Complete
6412EDL-G12;1;a;Complete
6412EDL-G13;1;a;Complete
6412EDL-G14;1;a;Complete
6412EDL-G15;1;a;Complete
6412EDL-G15;1;b;Complete
6412EDL-G16;1;a;Complete
6412EDL-G16;1;b;Complete
6412EDL-G17;1;a;Complete
6412EDL-G18;1;a;Complete
6412EDL-G18;1;b;Complete
6412EDL-G19;1;a;Complete
6412EDL-G19;1;b;Complete
6412EDL-G19;1;c;Complete
6412EDL-G2;1;a;Complete
6412EDL-G3;1;a;Complete
6412EDL-G4;1;a;Partielle
6412EDL-G5;1;a;Partielle
6412EDL-G6;1;a;Partielle
6412EDL-G6;1;b;Partielle
6412EDL-G7;1;a;Partielle
6412EDL-G7;1;b;Partielle
6412EDL-G8;1;a;Complete
6412EDL-G9;1;a;Complete
6412EDL-G9;1;b;Complete
6414EDL-G1;1;a;Non
6414EDL-G10;1;a;Non
6414EDL-G11;1;a;Complete
6414EDL-G11;1;b;Non
6414EDL-G12;1;a;Partielle
6414EDL-G13;1;a;Non
6414EDL-G14;1;a;Partielle
6414EDL-G15;1;a;Non
6414EDL-G16;1;a;Non
6414EDL-G17;1;a;Complete
6414EDL-G18;1;a;Complete
6414EDL-G19;1;a;Non
6414EDL-G2;1;a;Non
6414EDL-G20;1;a;Non
6414EDL-G3;1;a;Partielle
6414EDL-G3;1;b;Non
6414EDL-G3;1;c;Non
6414EDL-G4;1;a;Non
6414EDL-G5;1;a;Non
6414EDL-G6;1;a;Non
6414EDL-G6;1;b;Non
6414EDL-G7;1;a;Non
6414EDL-G8;1;a;Non
6414EDL-G9;1;a;Non
6416EDL-G1;1;a;Non
6416EDL-G1;1;b;Non
6416EDL-G10;1;a;Non
6416EDL-G11;1;a;Non
6416EDL-G12;1;a;Non
6416EDL-G13;1;a;Non
6416EDL-G14;1;a;Non
6416EDL-G15;1;a;Non
6416EDL-G15;1;b;Non
6416EDL-G16;1;a;Non
6416EDL-G2;1;a;Non
6416EDL-G3;1;a;Non
6416EDL-G4;1;a;Non
6416EDL-G4;1;b;Non
6416EDL-G4;1;c;Non
6416EDL-G5;1;a;Non
6416EDL-G5;1;b;Non
6416EDL-G5;1;c;Non
6416EDL-G6;1;a;Non
6416EDL-G6;1;b;Non
6416EDL-G7;1;a;Non
6416EDL-G8;1;a;Non
6416EDL-G9;1;a;Non
6418EDL-G1;1;a;Non
6418EDL-G10;1;a;Non
6418EDL-G10;1;b;Non
6418EDL-G2;1;a;Complete
6418EDL-G3;1;a;Partielle
6418EDL-G4;1;a;Complete
6418EDL-G4;1;b;Complete
6418EDL-G5;1;a;Partielle
6418EDL-G6;1;a;Partielle
6418EDL-G7;1;a;Partielle
6418EDL-G7;1;b;Partielle
6418EDL-G7;1;c;Non
6418EDL-G8;1;a;Non
6418EDL-G9;1;a;Non
6434EDL-D1;1;a;Partielle
6434EDL-D10;1;a;Non
6434EDL-D11;1;a;Non
6434EDL-D12;1;a;Non
6434EDL-D13;1;a;Non
6434EDL-D14;1;a;Non
6434EDL-D15;1;a;Non
6434EDL-D16;1;a;Non
6434EDL-D16;1;b;Non
6434EDL-D17;1;a;Non
6434EDL-D2;1;a;Non
6434EDL-D3;1;a;Non
6434EDL-D3;1;b;Non
6434EDL-D3;1;c;Non
6434EDL-D4;1;a;Partielle
6434EDL-D5;1;a;Non
6434EDL-D6;1;a;Non
6434EDL-D7;1;a;Non
6434EDL-D8;1;a;Non
6434EDL-D9;1;a;Non
6434EDL-D9;1;b;Non
6435EDL-D1;1;a;Non
6435EDL-D1;1;b;Non
6435EDL-D10;1;a;Complete
6435EDL-D11;1;a;Non
6435EDL-D12;1;a;Non
6435EDL-D12;1;b;Non
6435EDL-D12;1;c;Non
6435EDL-D12;1;d;Partielle
6435EDL-D13;1;a;Non
6435EDL-D13;1;b;Non
6435EDL-D14;1;a;Non
6435EDL-D14;1;b;Non
6435EDL-D14;1;c;Non
6435EDL-D15;1;a;Non
6435EDL-D16;1;a;Non
6435EDL-D17;1;a;Non
6435EDL-D2;1;a;Non
6435EDL-D4;1;a;Non
6435EDL-D4;1;b;Non
6435EDL-D4;1;c;Non
6435EDL-D5;1;a;Non
6435EDL-D6;1;a;Partielle
6435EDL-D7;1;a;Non
6435EDL-D8;1;a;Non
6435EDL-D9;1;a;Partielle
7726EDL-G1;1;a;Non
7726EDL-G10;1;a;Non
7726EDL-G11;1;a;Non
7726EDL-G11;1;b;Non
7726EDL-G11;1;c;Non
7726EDL-G12;1;a;Non
7726EDL-G13;1;a;Non
7726EDL-G14;1;a;Non
7726EDL-G14;1;b;Non
7726EDL-G15;1;a;Non
7726EDL-G15;1;b;Non
7726EDL-G16;1;a;Non
7726EDL-G16;1;b;Non
7726EDL-G16;1;c;Non
7726EDL-G2;1;a;Partielle
7726EDL-G2;1;b;Non
7726EDL-G2;1;c;Non
7726EDL-G3;1;a;Partielle
7726EDL-G3;1;b;Non
7726EDL-G3;1;c;Non
7726EDL-G4;1;a;Non
7726EDL-G5;1;a;Non
7726EDL-G5;1;b;Partielle
7726EDL-G6;1;a;Non
7726EDL-G6;1;b;Partielle
7726EDL-G6;1;c;Partielle
7726EDL-G7;1;a;Non
7726EDL-G8;1;a;Partielle
7726EDL-G8;1;b;Non
7726EDL-G9;1;a;Non
7736EDL-G1;1;a;Partielle
7736EDL-G1;1;b;Partielle
7736EDL-G2;1;a;Partielle
7736EDL-G3;1;a;Complete
7736EDL-G4;1;a;Non
7736EDL-G4;1;b;Partielle
7736EDL-G5;1;a;Partielle
7736EDL-G6;1;a;Partielle
7736EDL-G7;1;a;Complete
7736EDL-G8;1;a;Non
7736EDL-G8;1;b;Non
7736EDL-G9;1;a;Non
7736EDL-G9;1;b;Non
7736EDL-G9;1;c;Non
7738EDL-D1;1;a;Partielle
7738EDL-D10;1;a;Complete
7738EDL-D10;1;b;Complete
7738EDL-D11;1;a;Non
7738EDL-D11;1;b;Non
7738EDL-D2;1;a;Partielle
7738EDL-D2;1;b;Partielle
7738EDL-D3;1;a;Non
7738EDL-D4;1;a;Partielle
7738EDL-D4;1;b;Non
7738EDL-D5;1;a;Complete
7738EDL-D5;1;b;Complete
7738EDL-D6;1;a;Complete
7738EDL-D6;1;b;Complete
7738EDL-D7;1;a;Complete
7738EDL-D7;1;b;Complete
7738EDL-D8;1;a;Complete
7738EDL-D9;1;a;Partielle
7745EDL-G1;1;a;Non
7745EDL-G10;1;a;Non
7745EDL-G11;1;a;Non
7745EDL-G11;1;b;Non
7745EDL-G12;1;a;Non
7745EDL-G12;1;b;Non
7745EDL-G13;1;a;Non
7745EDL-G14;1;a;Non
7745EDL-G15;1;a;Non
7745EDL-G15;1;b;Non
7745EDL-G16;1;a;Non
7745EDL-G17;1;a;Non
7745EDL-G2;1;a;Non
7745EDL-G3;1;a;Non
7745EDL-G4;1;a;Non
7745EDL-G5;1;a;Non
7745EDL-G5;1;b;Non
7745EDL-G6;1;a;Non
7745EDL-G7;1;a;Non
7745EDL-G8;1;a;Non
7745EDL-G9;1;a;Non
7745EDL-G9;1;b;Non
7753EDL-G1;1;a;Partielle
7753EDL-G10;1;a;Partielle
7753EDL-G10;1;b;Partielle
7753EDL-G10;1;c;Partielle
7753EDL-G11;1;a;Partielle
7753EDL-G12;1;a;Non
7753EDL-G12;1;b;Partielle
7753EDL-G12;1;c;Non
7753EDL-G13;1;a;Partielle
7753EDL-G13;1;b;Partielle
7753EDL-G14;1;a;Partielle
7753EDL-G15;1;a;Partielle
7753EDL-G15;1;b;Partielle
7753EDL-G16;1;a;Partielle
7753EDL-G16;1;b;Complete
7753EDL-G17;1;a;Non
7753EDL-G17;1;b;Non
7753EDL-G17;1;c;Partielle
7753EDL-G17;1;d;Partielle
7753EDL-G2;1;a;Partielle
7753EDL-G3;1;a;Partielle
7753EDL-G3;1;b;Partielle
7753EDL-G3;1;c;Partielle
7753EDL-G4;1;a;Complete
7753EDL-G5;1;a;Complete
7753EDL-G5;1;b;Complete
7753EDL-G6;1;a;Complete
7753EDL-G6;1;b;Complete
7753EDL-G7;1;a;Complete
7753EDL-G7;1;b;Complete
7753EDL-G8;1;a;Complete
7753EDL-G9;1;a;Non
7753EDL-G9;1;b;Partielle
7754EDL-G1;1;a;Non
7754EDL-G10;1;a;Non
7754EDL-G11;1;a;Non
7754EDL-G12;1;a;Non
